"ReferenceId","PolicyDefinitionId","DisplayName","DefaultEffect","AllowedEffects","PreferredEffect"
"auditUnrestrictedNetworkAccessToStorageAccounts","/providers/Microsoft.Authorization/policyDefinitions/34c877ad-507e-4c82-993e-3452a6e0ad3c","Storage accounts should restrict network access","Audit","Audit, Deny, Disabled","Deny"
"b4ac1030-89c5-4697-8e00-28b5ba6a8811","/providers/Microsoft.Authorization/policyDefinitions/b4ac1030-89c5-4697-8e00-28b5ba6a8811","Azure Stack Edge devices should use double-encryption","Audit","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"b5ec538c-daa0-4006-8596-35468b9148e8","/providers/Microsoft.Authorization/policyDefinitions/b5ec538c-daa0-4006-8596-35468b9148e8","Storage account encryption scopes should use customer-managed keys to encrypt data at rest","Audit","Audit, Deny, Disabled","Deny"
"ba769a63-b8cc-4b2d-abf6-ac33c7204be8","/providers/Microsoft.Authorization/policyDefinitions/ba769a63-b8cc-4b2d-abf6-ac33c7204be8","Azure Machine Learning workspaces should be encrypted with a customer-managed key","Audit","Audit, Deny, Disabled","Deny"
"c26596ff-4d70-4e6a-9a30-c2506bd2f80c","/providers/Microsoft.Authorization/policyDefinitions/c26596ff-4d70-4e6a-9a30-c2506bd2f80c","Kubernetes cluster containers should only use allowed capabilities","Audit","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"c349d81b-9985-44ae-a8da-ff98d108ede8","/providers/Microsoft.Authorization/policyDefinitions/c349d81b-9985-44ae-a8da-ff98d108ede8","Azure Data Box jobs should enable double encryption for data at rest on the device","Audit","Audit, Deny, Disabled","Deny"
"ca91455f-eace-4f96-be59-e6e2c35b4816","/providers/Microsoft.Authorization/policyDefinitions/ca91455f-eace-4f96-be59-e6e2c35b4816","Managed disks should be double encrypted with both platform-managed and customer-managed keys","Audit","Audit, Deny, Disabled","Deny"
"d0793b48-0edc-4296-a390-4c75d1bdfd71","/providers/Microsoft.Authorization/policyDefinitions/d0793b48-0edc-4296-a390-4c75d1bdfd71","Container registries should not allow unrestricted network access","Audit","Audit, Deny, Disabled","Deny"
"d9da03a1-f3c3-412a-9709-947156872263","/providers/Microsoft.Authorization/policyDefinitions/d9da03a1-f3c3-412a-9709-947156872263","Azure HDInsight clusters should use encryption in transit to encrypt communication between Azure HDInsight cluster nodes","Audit","Audit, Deny, Disabled","Deny"
"df49d893-a74c-421d-bc95-c663042e5b80","/providers/Microsoft.Authorization/policyDefinitions/df49d893-a74c-421d-bc95-c663042e5b80","Kubernetes cluster containers should run with a read only root file system","Audit","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"e345eecc-fa47-480f-9e88-67dcc122b164","/providers/Microsoft.Authorization/policyDefinitions/e345eecc-fa47-480f-9e88-67dcc122b164","Kubernetes cluster containers CPU and memory resource limits should not exceed the specified limits","Deny","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"ea0dfaed-95fb-448c-934e-d6e713ce393d","/providers/Microsoft.Authorization/policyDefinitions/ea0dfaed-95fb-448c-934e-d6e713ce393d","Azure Monitor Logs clusters should be created with infrastructure-encryption enabled (double encryption)","Audit","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"ec068d99-e9c7-401f-8cef-5bdde4e6ccf1","/providers/Microsoft.Authorization/policyDefinitions/ec068d99-e9c7-401f-8cef-5bdde4e6ccf1","Double encryption should be enabled on Azure Data Explorer","Audit","Audit, Deny, Disabled","Deny"
"ee980b6d-0eca-4501-8d54-f6290fd512c3","/providers/Microsoft.Authorization/policyDefinitions/ee980b6d-0eca-4501-8d54-f6290fd512c3","Azure AI Search services should disable public network access","Audit","Audit, Deny, Disabled","Deny"
